panel,gender,row_order,section,row_in_section,system,label,label_display,baseline_auc,gait_auc,delta_auc_printed,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_positive,n_in_panel_title,description,seed_0_baseline_auc,seed_0_gait_auc,seed_1_baseline_auc,seed_1_gait_auc,seed_2_baseline_auc,seed_2_gait_auc,seed_3_baseline_auc,seed_3_gait_auc,seed_4_baseline_auc,seed_4_gait_auc,seed_5_baseline_auc,seed_5_gait_auc,seed_6_baseline_auc,seed_6_gait_auc,seed_7_baseline_auc,seed_7_gait_auc,seed_8_baseline_auc,seed_8_gait_auc,seed_9_baseline_auc,seed_9_gait_auc
a,male,11,MEDICATIONS,4,medications,DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,PPI / GERD Drugs,0.6262862547288777,0.6760172341319882,0.04973097940311055,,0.0009765625,0.0055338541666666,10,59,1607,Medication use indicator for antiulcer and GORD medications including proton pump inhibitors and H2 antagonists,0.6344157208911307,0.6968684321143337,0.6293610760823876,0.6913724253888188,0.6308427910886927,0.6904371584699454,0.6116120218579234,0.6633249264396807,0.6208175704077343,0.6601092896174863,0.6259352669188735,0.6648276586801177,0.6138083228247163,0.6657524169819251,0.6406788566624633,0.6847730138713746,0.6292664985287937,0.653520386717108,0.6261244220260613,0.689186633039092
b,female,1,MEDICAL CONDITIONS,1,medical_conditions,Psoriasis,Psoriasis,0.4635536434934896,0.6010279448716973,0.1374743013782077,,0.0009765625,0.0060221354166666,10,46,1721,"Binary diagnosis flag for Psoriasis, an autoimmune skin condition",0.4687809335262316,0.5701033021142669,0.4560775654204421,0.6007385974263306,0.4573339424858499,0.6070458641082261,0.4546815909033224,0.586766161577705,0.4288497169978933,0.6121475164344273,0.4809132211477448,0.6163354399857864,0.4852788141831011,0.6288357572527222,0.5026269702276707,0.600294423716338,0.4163303637148151,0.5650651031752075,0.4846633163278255,0.6229472829259626
b,female,2,MEDICAL CONDITIONS,2,medical_conditions,Headache,Headache,0.5037890685482977,0.6031741467406933,0.0993850781923955,,0.0009765625,0.0060221354166666,10,53,1721,"Headache diagnosis - pain in the head or upper neck region, which may indicate primary headache disorders or secondary conditions",0.4916941316994404,0.6340662257515096,0.4941272755424805,0.6123559468247474,0.4788648277997743,0.5931230507199894,0.522760954677166,0.6052224114667433,0.5264217301864673,0.6101550576212701,0.49503417461125,0.5440841425379902,0.5061934570550111,0.6284257559335531,0.5102192041407684,0.6148112101572696,0.511491074785994,0.6077661527571945,0.501083854984627,0.5817315136366652
b,female,3,MEDICAL CONDITIONS,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,0.5238459319099827,0.6123529672866084,0.08850703537662563,,0.0009765625,0.0060221354166666,10,25,1721,"Binary diagnosis flag for Peptic Ulcer Disease, erosion of GI tract lining",0.4906120999600515,0.5747037152115051,0.5316813884326868,0.6204891473212304,0.5504682853211417,0.636002485685117,0.5289182831017799,0.5795197301256159,0.5039504638465977,0.5654711704913666,0.5267211150073239,0.62790181543788,0.5053153712992143,0.6509165963868792,0.5121177149451819,0.6550668027875183,0.5585245683341471,0.6085933685472058,0.5301500288517023,0.6048648408717653
b,female,4,MEDICAL CONDITIONS,4,medical_conditions,Diabetes,Diabetes,0.5024179620034541,0.5760114094310985,0.0735934474276444,,0.0009765625,0.0060221354166666,10,22,1721,"Presence or absence of diabetes mellitus, a metabolic disorder affecting blood glucose regulation",0.5222431569581828,0.5977390485162506,0.5074056628460772,0.568535091851154,0.5100748416810592,0.5698173444287434,0.4939812634113152,0.5637724394201078,0.4244517716020306,0.548045219029675,0.5463704401528235,0.6367038258229968,0.4783587167006856,0.5524938504213115,0.5315067776207673,0.5371068194902392,0.5343591353954047,0.6361804574239808,0.4754278536661956,0.5497199979065264
b,female,5,MEDICAL CONDITIONS,5,medical_conditions,Depression,Depression,0.5569037638710126,0.6015792952308068,0.044675531359794185,,0.0009765625,0.0060221354166666,10,66,1721,"Major depressive disorder diagnosis - a mental health condition characterized by persistent depressed mood, loss of interest, and neurobiological changes",0.5640588583156504,0.5990364211917766,0.5537099523428531,0.6242825338296171,0.5786951681914635,0.6076894980345776,0.5615542491390406,0.6125595714335409,0.5512836122030125,0.5802344592479215,0.5633544369847289,0.5879830938880579,0.5697768462796118,0.6217779246530073,0.5583191289525863,0.5868438445750861,0.5142536612516089,0.5983233033012141,0.5540317250495703,0.5970623021532682
b,female,6,MEDICAL CONDITIONS,6,medical_conditions,IBS,IBS,0.6084433748070112,0.6492235037689583,0.04078012896194716,,0.0009765625,0.0060221354166666,10,65,1721,"Binary diagnosis flag for Irritable Bowel Syndrome, a gastrointestinal disorder",0.6105258377985651,0.668803923349378,0.615929525020434,0.6378530560348743,0.6173644537280901,0.6657615112160568,0.6079011897193716,0.6494233039687586,0.6079284352011625,0.6365634365634366,0.61357733175915,0.6521660158023794,0.6050131686495323,0.6460357823994187,0.6083916083916083,0.6538007447098356,0.6093452002542912,0.6465352828989193,0.5884569975479066,0.6352919807465262
b,female,7,MEDICAL CONDITIONS,7,medical_conditions,Asthma,Asthma,0.5266009492515517,0.5656967262991359,0.03909577704758427,,0.0009765625,0.0060221354166666,10,99,1721,"Asthma diagnosis - a chronic inflammatory airway disease characterized by reversible airflow obstruction, bronchial hyperresponsiveness, and inflammation",0.5238590726542534,0.5624680540343191,0.5189424364123159,0.5592734574662286,0.5382803943044907,0.5565230619447487,0.534118291347207,0.5885359620299381,0.5440367530728978,0.5694900815382743,0.504052573932092,0.5727394426189606,0.5236886941706219,0.5644091517585493,0.5306072775952293,0.555080929779725,0.5221005233053426,0.5531215772179627,0.5263234757210661,0.5753255446026531
b,female,8,MEDICAL CONDITIONS,8,medical_conditions,Perimenopausal Disorders,Perimenopausal Disorders,0.5431798623063683,0.5769614170969593,0.03378155479059097,,0.0244140625,0.0967843191964285,10,16,1721,"Presence or absence of disorders related to the perimenopausal period (transition to menopause), including hormonal fluctuations and associated symptoms",0.4722819850831898,0.4681224899598393,0.5879231210556513,0.5910068846815835,0.5496629374641423,0.6037363740676994,0.5780622489959839,0.5363955823293172,0.560025817555938,0.6343588640275387,0.5605098967297762,0.5879589787722317,0.5403399311531841,0.6294104991394147,0.4567197360872059,0.5284351692484223,0.5548085197934595,0.589393287435456,0.571464429145152,0.6007960413080895
b,female,9,MEDICATIONS,1,medications,OTHERGYNECOLOGICALSinATC,Gynecological Medications,0.4426850258175559,0.564210413080895,0.12152538726333911,,0.0009765625,0.0060221354166666,10,16,1721,"Medication use indicator for gynecological drugs classified by ATC code, used in treatment of gynecological conditions",0.494226907630522,0.555364314400459,0.4546041308089501,0.5618545611015491,0.4403686173264487,0.5634323006310958,0.5125143430866322,0.5377581755593803,0.4575803212851406,0.5376147446930579,0.4443129661503155,0.5619979919678715,0.322289156626506,0.5505952380952381,0.4393646012621915,0.5822934595524957,0.3568918531267929,0.6099397590361446,0.5046973608720597,0.5812535857716581
b,female,10,MEDICATIONS,2,medications,ADRENERGICSINHALANTS,Adrenergic Inhalants,0.5474982449422426,0.6186833875805731,0.07118514263833042,,0.0009765625,0.0060221354166666,10,18,1721,Medication use indicator for adrenergic inhalant medications (used for bronchospasm and respiratory conditions),0.6129938094326377,0.6143659454974791,0.5538962282213288,0.6690599272448784,0.6167911162167337,0.6236198863998978,0.4742166060373987,0.5692450060629267,0.5379092475588743,0.6231412342842555,0.5167209139064395,0.5965919969366265,0.5249856404365307,0.5807326568383432,0.5382602591103453,0.6303848363009765,0.6006764949901078,0.6831961197268492,0.4985321335120301,0.596496266513498
b,female,11,MEDICATIONS,3,medications,HORMONEANTAGONISTSANDRELATEDAGENTS,Hormone Antagonists,0.5226480736055203,0.5898159861989649,0.06716791259344457,,0.001953125,0.01083984375,10,20,1721,Medication use indicator for hormone antagonists and blockers used in cancer treatment and other hormone-dependent conditions,0.4931282346175963,0.5570155261644623,0.5525876940770558,0.6125071880391029,0.5066417481311098,0.548188614146061,0.563254744105808,0.5803335250143761,0.4691489361702127,0.615066129959747,0.5720241518113859,0.6008625646923519,0.4893617021276596,0.4783208740655549,0.5215928694652099,0.6206440483036227,0.5338987924094307,0.6449971247843589,0.5248418631397355,0.6402242668200115
b,female,12,MEDICATIONS,4,medications,IRONANTIANEMICPREPARATIONS,Iron Supplements,0.5462960795787011,0.5937039204212989,0.04740784084259786,,0.0009765625,0.0060221354166666,10,48,1721,Supplement/medication use indicator for iron supplements and anti-anemia medications used to treat iron deficiency anemia,0.5306377998829725,0.6056290228203627,0.553622001170275,0.6048098303101228,0.5455471035693388,0.5909654768870685,0.5847864248098303,0.618724400234055,0.5210181392627268,0.572510239906378,0.5428437682855471,0.5826565242832065,0.5613692217671152,0.5912229373902868,0.541767115272089,0.6056407255705091,0.5439672322995904,0.6099707431246343,0.5374019894675249,0.5549093036863663
b,female,13,MEDICATIONS,5,medications,ANTIDEPRESSANTS,Antidepressants,0.5420641954052092,0.5715087523843285,0.029444556979119296,,0.0009765625,0.0060221354166666,10,143,1721,Medication use indicator for antidepressant medications (used to treat depression and related psychiatric conditions),0.5520754207390153,0.5647693320504381,0.5299834574028122,0.5710276666497865,0.5246619739707298,0.5699937543255515,0.5519530392802282,0.5704663999594876,0.5233579784271029,0.5686770986310157,0.543344136662109,0.5525354062220422,0.5481254536554077,0.5917734339393326,0.5358915278270117,0.5749523134315762,0.5483575564220725,0.586827534984217,0.5628914096656032,0.5640645836498371
